Category,Denial Type,Field Name (837),CARC/RARC Code,Root Cause,Priority,Action Owner,What to Fix,What to Verify,PM System Field,Payer/External System Field,Expected Outcome,Time to Resolve
CODING,Modifier Invalid,241d_Modifier,4/M15,Modifier not valid for CPT code submitted,Medium,Medical Coder,Remove or replace with correct modifier,Verify modifier applicability for specific CPT code,Charges Tab → Modifier Fields,CPT Modifier Guidelines,Claim reprocessed,24-48 hours
CODING,Unbundling Edit,241d_CPT,97/N362,Services should be bundled per CCI edits,High,Medical Coder,Remove unbundled code or add appropriate modifier if separately identifiable,Review CCI edits; check if modifier 59/XE/XS/XP/XU applies,Charges Tab → CPT Codes,CMS CCI Edit Database,Correct charges billed,24-48 hours
CODING,Units Exceed MUE,24g_Units,151/N362,Billed units exceed Medically Unlikely Edits,High,Medical Coder,Reduce units or split across multiple DOS with documentation,Verify medical necessity for billed units; review MUE limits,Charges Tab → Units Field,CMS MUE Database,Units adjusted or appeal submitted,24-48 hours
CODING,LCD/NCD Not Met,214a_ICD10,50/N386,Service not covered per Local/National Coverage Determination,Critical,Denial Analyst,Submit appeal with clinical evidence demonstrating medical necessity,Review LCD/NCD criteria; gather supporting clinical documentation,N/A (Documentation Review),CMS LCD/NCD Database,Appeal approved,10-30 days
CLAIM SUBMISSION,Duplicate Claim,22_Code,18/MA36,Claim previously submitted and processed,Medium,Claims Intake Specialist,Verify if duplicate; if not submit corrected claim with ICN reference,Check claim status in PM and on payer portal,Claims Tab → Original ICN,Payer Portal → Claim Status,Duplicate confirmed or corrected claim submitted,24-48 hours
CLAIM SUBMISSION,Timely Filing,247a_From,29/N96,Claim submitted after filing deadline,Critical,Denial Analyst,Submit timely filing appeal with proof of timely submission or extenuating circumstances,Verify original submission date; gather clearinghouse transmission reports,Claims Tab → Original Submit Date,Clearinghouse → Transmission History,Appeal approved,7-14 days
CLAIM SUBMISSION,Corrected Claim Required,22_Code,N/A,Original claim has errors requiring correction,Medium,Claims Intake Specialist,Submit corrected claim (Bill Type 7 for non-MCR/MCD),Determine payer type; use correct resubmission indicator,Claims Tab → Bill Frequency Code (Box 22),Payer Claim Resubmission Rules,Corrected claim processed,3-5 days
CLAIM SUBMISSION,New Claim for MCR/MCD,22_Code,N/A,Medicare/Medicaid requires new claim vs corrected,Medium,Claims Intake Specialist,Submit as new claim per Medicare/Medicaid rules,Confirm payer is MCR/MCD before resubmission,Claims Tab → Claim Type Indicator,Medicare/Medicaid Processing Rules,New claim processed,3-5 days
CLAIM SUBMISSION,Missing/Invalid NPI,82_Rendering_NPI,B16/N285,Provider NPI missing or invalid,High,Claims Intake Specialist,Add or correct rendering provider NPI,Verify NPI in NPPES database; ensure enrollment with payer,Provider Tab → Rendering NPI,NPPES NPI Lookup / Payer Enrollment,Claim reprocessed,24-48 hours
CLAIM SUBMISSION,Provider Not Enrolled,82_Rendering_NPI,B7/N290,Provider not credentialed with payer,Critical,Denial Analyst,Initiate credentialing or bill under supervising provider if applicable,Verify provider enrollment status with payer,Provider Tab → Enrollment Status,Payer Provider Enrollment Portal,Provider enrolled or alternate billing,30-90 days
COORDINATION OF BENEFITS,COB - Other Insurance Primary,11_Insurance_Info,22/N57,Patient has other primary insurance,High,Claims Intake Specialist,Bill primary payer first; resubmit as secondary with primary EOB,Verify COB order; obtain primary payer EOB,Insurance Tab → Insurance Order,Primary Payer → EOB,Secondary claim processed with COB,5-10 days
COORDINATION OF BENEFITS,COB Information Missing,11_Insurance_Info,N580/MA17,Other insurance information required,Medium,Claims Intake Specialist,Update patient insurance information; resubmit with COB details,Contact patient to verify other coverage; update insurance tab,Insurance Tab → Other Insurance Fields,N/A (Patient Contact),Claim processed with correct COB,3-5 days
MEDICAL NECESSITY,Not Medically Necessary,214a_ICD10,50/N386,Payer determined service not medically necessary,Critical,Denial Analyst,Submit peer-to-peer review request or appeal with clinical evidence,Gather clinical documentation supporting medical necessity,N/A (Documentation Gathering),Payer Appeals Portal / Medical Director,Appeal approved,14-30 days
MEDICAL NECESSITY,Experimental/Investigational,241d_CPT,96/N95,Service deemed experimental by payer,Critical,Denial Analyst,Submit appeal with peer-reviewed literature and clinical evidence,Research coverage policies; gather supporting medical literature,N/A (Research/Documentation),Payer Medical Policy,Appeal approved or patient liability,30-60 days
PAYMENT,Contractual Adjustment Incorrect,N/A,45/N381,Payment less than contracted rate,High,Denial Analyst,Submit underpayment dispute with contract reference,Compare payment to fee schedule; calculate expected reimbursement,Payment Tab → Expected vs Actual,Payer Contract / Fee Schedule,Underpayment recovered,14-30 days
PAYMENT,Bundled Service,241d_CPT,97/N362,Service included in payment for another service,Medium,Medical Coder,Verify bundling is correct; if separate submit with modifier documentation,Review CCI edits and payer bundling policies,Charges Tab → CPT Codes,Payer Bundling Policies,Correct payment or documentation,3-7 days
PAYMENT,Exceeds Allowed Amount,N/A,45/N130,Billed amount exceeds payer fee schedule,Low,Claims Intake Specialist,No action needed if contractual; verify if underpayment,Confirm adjustment aligns with contracted rate,Payment Tab → Allowed Amount,Payer Fee Schedule,Adjustment confirmed correct,24 hours
PATIENT LIABILITY,Deductible Not Met,N/A,1/N382,Applied to patient deductible,Low,Claims Intake Specialist,Transfer balance to patient responsibility,Verify deductible accumulator on payer portal,Patient Tab → Patient Balance,Payer Portal → Deductible Status,Patient statement generated,24 hours
PATIENT LIABILITY,Coinsurance/Copay Due,N/A,2-3/N381,Patient responsible for coinsurance or copay,Low,Claims Intake Specialist,Transfer balance to patient responsibility,Verify patient responsibility from EOB,Patient Tab → Patient Balance,EOB → Patient Responsibility,Patient statement generated,24 hours
DOCUMENTATION,Medical Records Requested,N/A,N/MA04,Payer requires medical records for processing,Medium,Claims Intake Specialist,Submit requested medical records,Gather relevant clinical documentation,N/A (Document Submission),Payer Portal → Document Upload,Claim processed after review,7-14 days
DOCUMENTATION,Insufficient Documentation,N/A,16/MA09,Documentation doesn't support level of service billed,High,Medical Coder,Request documentation addendum or downcode to supported level,Review documentation against E&M or procedure requirements,Charges Tab → E&M Level,E&M Documentation Guidelines,Corrected charge or addendum,5-10 days
APPEAL,First Level Appeal,N/A,N/A,Initial denial requires first level appeal,High,Denial Analyst,Submit first level appeal with clinical rationale and supporting documents,Gather denial letter and all supporting clinical evidence,N/A (Appeal Submission),Payer Appeals Portal,Appeal decision received,30-45 days
APPEAL,Second Level Appeal,N/A,N/A,First level appeal denied requires escalation,Critical,Denial Analyst,Submit second level appeal with additional evidence or peer-to-peer request,Review first level denial reason; gather additional supporting evidence,N/A (Appeal Escalation),Payer Appeals Portal / Medical Director,Appeal decision received,30-60 days
APPEAL,External Review,N/A,N/A,Internal appeals exhausted requires external review,Critical,Denial Analyst,Submit to Independent Review Organization (IRO),Confirm internal appeals exhausted; prepare comprehensive appeal package,N/A (External Review),State IRO / CMS QIC,External review decision,45-60 days
